COMPANY_CODE,STATE_CODE,PROGRAM_CODE,LINE_OF_BUSINESS,CITY,COUNTY_CODE,ZIP_CODE,LastOfADDRESS_LINE,LastOfCITY,LastOfSTATE_CODE,LastOfZIP_CODE,LastOfCOUNTY_CODE,PREMIUM_GROUP,TERRITORY_1_CODE
60,AL,R,25,Birmingham,073,35209,909 BEACON PARKWAY EAST,BIRMINGHAM,AL,35209,073,,1
60,AL,R,25,Birmingham,073,35210,3625 HUNTERS HILL DR,BIRMINGHAM,AL,35210,073,,1
60,AL,R,25,Birmingham,073,35211,729 30TH ST SW,BIRMINGHAM,AL,35211,073,,1
60,AL,R,25,Birmingham,073,35212,124 57TH ST S,BIRMINGHAM,AL,35212,073,,1
60,AL,R,25,Birmingham,073,35213,907 SHARPSBURG CIRCLE,BIRMINGHAM,AL,35213,073,,1
60,AL,R,25,Birmingham,073,35214,517 ALDER AVE,BIRMINGHAM,AL,35214,073,,1
60,AL,R,25,Birmingham,073,35215,649 EARLINE CIR APT D,BIRMINGHAM,AL,35215,073,,1
60,AL,R,25,Birmingham,073,35216,1000 AUTUMN WOOD DR # 1206,BIRMINGHAM,AL,35216,073,,1
60,AL,R,25,Birmingham,073,35217,921 JACKSON BLVD,BIRMINGHAM,AL,35217,073,,1
60,AL,R,25,Birmingham,073,35218,3005 AVENUE C,BIRMINGHAM,AL,35218,073,,1
60,AL,R,25,Birmingham,073,35221,2416 31ST ST SW,BIRMINGHAM,AL,35221,073,,1
60,AL,R,25,Birmingham,073,35222,3920 8TH CT S,BIRMINGHAM,AL,35222,073,,1
60,AL,R,25,Birmingham,073,35223,3111 MELISSA WAY,BIRMINGHAM,AL,35223,073,,1
60,AL,R,25,Birmingham,073,35224,704 CROWNE DR,BIRMINGHAM,AL,35224,073,,1
60,AL,R,25,Birmingham,073,35225,,,,,,,1
60,AL,R,25,Birmingham,073,35226,911 HICKORY KNOLL,BIRMINGHAM,AL,35226,073,,1
60,AL,R,25,Birmingham,073,35228,529 ELAM ST,BIRMINGHAM,AL,35228,073,,1
60,AL,R,25,Birmingham,073,35230,,,,,,,1
60,AL,R,25,Birmingham,073,35233,401 19TH ST. SOUTH,BIRMINGHAM,AL,35233,073,,1
60,AL,R,25,Birmingham,073,35234,3022 NORWOOD BLVD,BIRMINGHAM,AL,35234,073,,1
60,AL,R,25,Birmingham,073,35235,2180 CHESHIRE DR,BIRMINGHAM,AL,35235,073,,1
60,AL,R,25,Birmingham,073,35240,,,,,,,1
60,AL,R,25,Birmingham,073,35242,2801 RIVERVIEW RD APT 42034203,BIRMINGHAM,AL,35242,073,,1
60,AL,R,25,Birmingham,073,35243,4619 MELISSA WAY,BIRMINGHAM,AL,35243,073,,1
60,AL,R,25,Birmingham,073,35244,0208 SUMMERCHASE DR,BIRMINGHAM,AL,35244,073,,1
60,AL,R,25,Birmingham,073,35245,,,,,,,1
60,AL,R,25,Birmingham,073,35263,,,,,,,1
60,AL,R,25,Birmingham,073,35277,,,,,,,1
60,AL,R,25,Birmingham,073,35278,,,,,,,1
60,AL,R,25,Birmingham,073,35279,,,,,,,1
60,AL,R,25,Birmingham,073,35280,,,,,,,1
60,AL,R,25,Birmingham,073,35281,,,,,,,1
60,AL,R,25,Birmingham,073,35286,,,,,,,1
60,AL,R,25,Birmingham,073,35289,,,,,,,1
60,AL,R,25,Birmingham,073,35299,,,,,,,1
60,AL,R,25,Birmingham,117,35216,4476 CAHABA RIVER BLVD,BIRMINGHAM,AL,35216,117,,1
60,AL,R,25,Birmingham,117,35242,1205 INVERNESS CLFS,BIRMINGHAM,AL,35242,117,,1
60,AL,R,25,Birmingham,117,35244,105 GARDEN VIEW LN,BIRMINGHAM,AL,35244,117,,1
60,AL,R,25,Black,061,36314,417 N CURTIS ST,BLACK,AL,36314,061,,1
60,AL,R,25,Blountsville,009,35031,765 COLLEGE ST,BLOUNTSVILLE,AL,35031,009,,1
60,AL,R,25,Bluff Park,073,35226,,,,,,,1
60,AL,R,25,Bluff Park,073,35244,,,,,,,1
60,AL,R,25,Boaz,009,35957,213 HIGH MOUND DR,BOAZ,AL,35957,009,,1
60,AL,R,25,Boaz,049,35957,3392 COUNTY ROAD 4,BOAZ,AL,35957,049,,1
60,AL,R,25,Boaz,055,35956,920 LAWSON GAP RD,BOAZ,AL,35956,055,,1
60,AL,R,25,Boaz,095,35957,1098 BEAGLE CLUB RD,BOAZ,AL,35957,095,,1
60,AL,R,25,Boligee,063,35443,1954 COUNTY ROAD 72,BOLIGEE,AL,35443,063,,1
60,AL,R,25,Bolinger,023,36919,,,,,,,1
60,AL,R,25,Bon Secour,003,36511,6977 BON SECOUR HWY,BON SECOUR,AL,36511,003,,2
60,AL,R,25,Booth,001,36008,,,,,,,1
60,AL,R,25,Borden Springs,015,36272,,,,,,,1
60,AL,R,25,Branchville,115,35120,,,,,,,1
60,AL,R,25,Brantley,031,36009,1114 COUNTY ROAD 337,BRANTLEY,AL,36009,031,,1
60,AL,R,25,Brantley,041,36009,265 STRICKLIN RD,BRANTLEY,AL,36009,041,,1
60,AL,R,25,Bremen,043,35033,844 COUNTY ROAD 102,BREMEN,AL,35033,043,,1
60,AL,R,25,Bremen,127,35033,,,,,,,1
60,AL,R,25,Brent,007,35034,174 LECROY CIR,BRENT,AL,35034,007,,1
60,AL,R,25,Brent,105,35034,,,,,,,1
60,AL,R,25,Brewton,035,36426,,,,,,,1
60,AL,R,25,Brewton,053,36426,130 CRENSHAW ST,BREWTON,AL,36426,053,,1
60,AL,R,25,Bridgeport,071,35740,204 RUBY ST,BRIDGEPORT,AL,35740,071,,1
60,AL,R,25,Brierfield,007,35035,205 WANDA WAY,BRIERFIELD,AL,35035,007,,1
60,AL,R,25,Brierfield,117,35035,,,,,,,1
60,AL,R,25,Brighton,073,35020,4007 5TH AVE,BRIGHTON,AL,35020,073,,1
60,AL,R,25,Brilliant,093,35548,126 DOLLY ST,BRILLIANT,AL,35548,093,,1
60,AL,R,25,Brookley Field,097,36615,,,,,,,2
60,AL,R,25,Brookwood,073,35444,,,,,,,1
60,AL,R,25,Brookwood,125,35444,15637 PEACE VALLEY RD,BROOKWOOD,AL,35444,125,,1
60,AL,R,25,Brownsboro,089,35741,170 JONES CIR,BROWNSBORO,AL,35741,089,,1
60,AL,R,25,Brundidge,031,36010,2919 COUNTY ROAD 109,BRUNDIDGE,AL,36010,031,,1
60,AL,R,25,Brundidge,045,36010,,,,,,,1
60,AL,R,25,Brundidge,109,36010,272 BARR ST,BRUNDIDGE,AL,36010,109,,1
60,AL,R,25,Bryant,071,35958,368 COUNTY ROAD 289,BRYANT,AL,35958,071,,1
60,AL,R,25,Buhl,125,35446,16905 BUD DR,BUHL,AL,35446,125,,1
60,AL,R,25,Burkville,085,36752,188 E QUAIL TRL,BURKVILLE,AL,36752,085,,1
60,AL,R,25,Burnt Corn,035,36401,,,,,,,1
60,AL,R,25,Butler,023,36904,702 STEVENS RD,BUTLER,AL,36904,023,,1
60,AL,R,25,Cahaba Heights,073,35243,1426 CAHABA RIVER PARC # 1426,CAHABA HEIGHTS,AL,35243,073,,1
60,AL,R,25,Calera,021,35040,916 KENSINGTON MANOR DR # 916,CALERA,AL,35040,021,,1
60,AL,R,25,Calera,117,35040,10 KENSINGTON MANOR DR # 0714,CALERA,AL,35040,117,,1
60,AL,R,25,Camden,131,36726,80 VINE LN,CAMDEN,AL,36726,131,,1
60,AL,R,25,Camp Hill,017,36850,,,,,,,1
60,AL,R,25,Camp Hill,081,36850,,,,,,,1
60,AL,R,25,Camp Hill,123,36850,2704 COUNTY ROAD 89 S,CAMP HILL,AL,36850,123,,1
60,AL,R,25,Campbell,025,36727,,,,,,,1
60,AL,R,25,Carbon Hill,057,35549,,,,,,,1
60,AL,R,25,Carbon Hill,127,35549,366 NUBBIN RIDGE RD,CARBON HILL,AL,35549,127,,1
